clean_file,spec_version,n_ops_original,n_ops_converted,status
S1__amazonaws.com-elasticloadbalancingv2-2015-12-01-swagger.yaml,3.x,68,68,ok
S1__amazonaws.com-elasticmapreduce-2009-03-31-swagger.yaml,3.x,29,29,ok
S1__amazonaws.com-elastictranscoder-2012-09-25-swagger.yaml,3.x,17,17,ok
S1__amazonaws.com-email-2010-12-01-swagger.yaml,3.x,142,142,ok
S1__amazonaws.com-es-2015-01-01-swagger.yaml,3.x,23,23,ok
S1__amazonaws.com-eventbridge-2015-10-07-swagger.yaml,3.x,31,31,ok
S1__amazonaws.com-events-2015-10-07-swagger.yaml,3.x,31,31,ok
S1__amazonaws.com-firehose-2015-08-04-swagger.yaml,3.x,12,12,ok
S1__amazonaws.com-fms-2018-01-01-swagger.yaml,3.x,14,14,ok
S1__amazonaws.com-forecast-2018-06-26-swagger.yaml,3.x,26,26,ok
S1__amazonaws.com-fsx-2018-03-01-swagger.yaml,3.x,11,11,ok
S1__amazonaws.com-gamelift-2015-10-01-swagger.yaml,3.x,73,73,ok
S1__amazonaws.com-glacier-2012-06-01-swagger.yaml,3.x,33,33,ok
S1__amazonaws.com-globalaccelerator-2018-08-08-swagger.yaml,3.x,17,17,ok
S1__amazonaws.com-glue-2017-03-31-swagger.yaml,3.x,123,123,ok
S1__amazonaws.com-greengrass-2017-06-07-swagger.yaml,3.x,90,90,ok
S1__amazonaws.com-groundstation-2019-05-23-swagger.yaml,3.x,25,25,ok
S1__amazonaws.com-guardduty-2017-11-28-swagger.yaml,3.x,45,45,ok
S1__amazonaws.com-health-2016-08-04-swagger.yaml,3.x,6,6,ok
S1__amazonaws.com-iam-2010-05-08-swagger.yaml,3.x,280,280,ok
S1__amazonaws.com-importexport-2010-06-01-swagger.yaml,3.x,12,12,ok
S1__amazonaws.com-inspector-2016-02-16-swagger.yaml,3.x,37,37,ok
S1__amazonaws.com-iot-2015-05-28-swagger.yaml,3.x,178,178,ok
S1__amazonaws.com-iot-data-2015-05-28-swagger.yaml,3.x,4,4,ok
S1__amazonaws.com-iot-jobs-data-2017-09-29-swagger.yaml,3.x,4,4,ok
S1__amazonaws.com-iot1click-devices-2018-05-14-swagger.yaml,3.x,13,13,ok
S1__amazonaws.com-iot1click-projects-2018-05-14-swagger.yaml,3.x,16,16,ok
S1__amazonaws.com-iotanalytics-2017-11-27-swagger.yaml,3.x,34,34,ok
S1__amazonaws.com-iotevents-2018-07-27-swagger.yaml,3.x,16,16,ok
S1__amazonaws.com-iotevents-data-2018-10-23-swagger.yaml,3.x,4,4,ok
S1__amazonaws.com-iotthingsgraph-2018-09-06-swagger.yaml,3.x,35,35,ok
S1__amazonaws.com-kafka-2018-11-14-swagger.yaml,3.x,18,18,ok
S1__amazonaws.com-kinesis-2013-12-02-swagger.yaml,3.x,27,27,ok
S1__amazonaws.com-kinesisanalyticsv2-2018-05-23-swagger.yaml,3.x,24,24,ok
S1__amazonaws.com-kinesisvideo-2017-09-30-swagger.yaml,3.x,10,10,ok
S1__amazonaws.com-kms-2014-11-01-swagger.yaml,3.x,41,41,ok
S1__amazonaws.com-lakeformation-2017-03-31-swagger.yaml,3.x,13,13,ok
S1__amazonaws.com-lambda-2015-03-31-swagger.yaml,3.x,39,39,ok
S1__amazonaws.com-lex-models-2017-04-19-swagger.yaml,3.x,36,36,ok
S1__amazonaws.com-license-manager-2018-08-01-swagger.yaml,3.x,15,15,ok
S1__amazonaws.com-lightsail-2016-11-28-swagger.yaml,3.x,105,105,ok
S1__amazonaws.com-logs-2014-03-28-swagger.yaml,3.x,39,39,ok
S1__amazonaws.com-machinelearning-2014-12-12-swagger.yaml,3.x,28,28,ok
S1__amazonaws.com-macie-2017-12-19-swagger.yaml,3.x,7,7,ok
S1__amazonaws.com-managedblockchain-2018-09-24-swagger.yaml,3.x,18,18,ok
S1__amazonaws.com-mediaconnect-2018-11-14-swagger.yaml,3.x,17,17,ok
S1__amazonaws.com-mediaconvert-2017-08-29-swagger.yaml,3.x,25,25,ok
S1__amazonaws.com-medialive-2017-10-14-swagger.yaml,3.x,31,31,ok
S1__amazonaws.com-mediapackage-2017-10-12-swagger.yaml,3.x,18,18,ok
S1__amazonaws.com-mediapackage-vod-2018-11-07-swagger.yaml,3.x,12,12,ok
S1__amazonaws.com-mediastore-2017-09-01-swagger.yaml,3.x,18,18,ok
S1__amazonaws.com-mediastore-data-2017-09-01-swagger.yaml,3.x,4,4,ok
S1__amazonaws.com-mediatailor-2018-04-23-swagger.yaml,3.x,7,7,ok
