clean_file,spec_version,n_ops_original,n_ops_converted,status
S1__azure.com-machinelearningservices-datastore-2019-08-01-swagger.yaml,3.x,8,8,ok
S1__azure.com-machinelearningservices-execution-2019-08-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-machinelearningservices-machineLearningServices-2019-06-01-swagger.yaml,3.x,20,20,ok
S1__azure.com-machinelearningservices-modelManagement-2019-08-01-swagger.yaml,3.x,23,23,ok
S1__azure.com-machinelearningservices-runHistory-2019-08-01-swagger.yaml,3.x,26,26,ok
S1__azure.com-maintenance-Maintenance-2018-06-01-preview-swagger.yaml,3.x,18,18,ok
S1__azure.com-managednetwork-managedNetwork-2019-06-01-preview-swagger.yaml,3.x,19,19,ok
S1__azure.com-managedservices-2019-06-01-swagger.yaml,3.x,9,9,ok
S1__azure.com-managementgroups-management-2018-03-01-preview-swagger.yaml,3.x,13,13,ok
S1__azure.com-managementpartner-ManagementPartner-2018-02-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-maps-maps-management-2018-05-01-swagger.yaml,3.x,10,10,ok
S1__azure.com-mariadb-2018-06-01-swagger.yaml,3.x,29,29,ok
S1__azure.com-marketplaceordering-Agreements-2015-06-01-swagger.yaml,3.x,7,7,ok
S1__azure.com-mediaservices-Accounts-2018-03-30-preview-swagger.yaml,3.x,10,10,ok
S1__azure.com-mediaservices-MediaGraphs-2019-09-01-preview-swagger.yaml,3.x,8,8,ok
S1__azure.com-mediaservices-media-2015-10-01-swagger.yaml,3.x,10,10,ok
S1__azure.com-migrate-2018-02-02-swagger.yaml,3.x,24,24,ok
S1__azure.com-migrateprojects-migrate-2018-09-01-preview-swagger.yaml,3.x,23,23,ok
S1__azure.com-mixedreality-remote-rendering-2019-12-02-preview-swagger.yaml,3.x,8,8,ok
S1__azure.com-mobileengagement-mobile-engagement-2014-12-01-swagger.yaml,3.x,37,37,ok
S1__azure.com-monitor-actionGroups_API-2019-06-01-swagger.yaml,3.x,7,7,ok
S1__azure.com-monitor-activityLogAlerts_API-2017-04-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-monitor-guestDiagnosticSettingsAssociation_API-2018-06-01-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-monitor-guestDiagnosticSettings_API-2018-06-01-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-monitor-metricAlert_API-2018-03-01-swagger.yaml,3.x,8,8,ok
S1__azure.com-monitor-scheduledQueryRule_API-2018-04-16-swagger.yaml,3.x,6,6,ok
S1__azure.com-msi-ManagedIdentity-2018-11-30-swagger.yaml,3.x,7,7,ok
S1__azure.com-mysql-2017-12-01-swagger.yaml,3.x,29,29,ok
S1__azure.com-netapp-2019-07-01-swagger.yaml,3.x,24,24,ok
S1__azure.com-network-2015-05-01-preview-swagger.yaml,3.x,87,87,ok
S1__azure.com-network-applicationSecurityGroup-2019-07-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-network-expressRouteCrossConnection-2019-07-01-swagger.yaml,3.x,12,12,ok
S1__azure.com-network-virtualWan-2019-07-01-swagger.yaml,3.x,49,49,ok
S1__azure.com-notificationhubs-2017-04-01-swagger.yaml,3.x,28,28,ok
S1__azure.com-operationalinsights-Clusters-2019-08-01-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-operationsmanagement-OperationsManagement-2015-11-01-preview-swagger.yaml,3.x,15,15,ok
S1__azure.com-peering-2019-08-01-preview-swagger.yaml,3.x,26,26,ok
S1__azure.com-policyinsights-policyEvents-2018-04-04-swagger.yaml,3.x,9,9,ok
S1__azure.com-policyinsights-policyStates-2018-07-01-preview-swagger.yaml,3.x,18,18,ok
S1__azure.com-policyinsights-policyTrackedResources-2018-07-01-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-policyinsights-remediations-2018-07-01-preview-swagger.yaml,3.x,24,24,ok
S1__azure.com-portal-2019-01-01-preview-swagger.yaml,3.x,7,7,ok
S1__azure.com-postgresql-2017-12-01-swagger.yaml,3.x,29,29,ok
S1__azure.com-powerbidedicated-2017-10-01-swagger.yaml,3.x,12,12,ok
S1__azure.com-powerbiembedded-2016-01-29-swagger.yaml,3.x,12,12,ok
S1__azure.com-privatedns-2018-09-01-swagger.yaml,3.x,17,17,ok
S1__azure.com-recoveryservices-vaults-2016-06-01-swagger.yaml,3.x,11,11,ok
S1__azure.com-recoveryservicesbackup-bms-2017-07-01-swagger.yaml,3.x,15,15,ok
S1__azure.com-recoveryservicessiterecovery-service-2018-07-10-swagger.yaml,3.x,124,124,ok
S1__azure.com-redis-2018-03-01-swagger.yaml,3.x,26,26,ok
S1__azure.com-relay-2017-04-01-swagger.yaml,3.x,34,34,ok
S1__azure.com-reservations-2019-04-01-swagger.yaml,3.x,14,14,ok
S1__azure.com-resourcegraph-2018-09-01-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-resourcegraph-graphquery-2018-09-01-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-resourcehealth-ResourceHealth-2018-07-01-preview-swagger.yaml,3.x,10,10,ok
S1__azure.com-resources-2019-08-01-swagger.yaml,3.x,78,78,ok
S1__azure.com-resources-features-2015-12-01-swagger.yaml,3.x,5,5,ok
S1__azure.com-resources-links-2016-09-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-resources-locks-2016-09-01-swagger.yaml,3.x,17,17,ok
S1__azure.com-resources-managedapplications-2016-09-01-preview-swagger.yaml,3.x,18,18,ok
S1__azure.com-resources-managedapplications-2018-06-01-swagger.yaml,3.x,14,14,ok
S1__azure.com-resources-policyAssignments-2019-06-01-swagger.yaml,3.x,9,9,ok
S1__azure.com-resources-subscriptions-2019-06-01-swagger.yaml,3.x,5,5,ok
S1__azure.com-scheduler-2016-03-01-swagger.yaml,3.x,15,15,ok
S1__azure.com-search-2015-08-19-swagger.yaml,3.x,13,13,ok
S1__azure.com-search-searchindex-2019-05-06-swagger.yaml,3.x,9,9,ok
S1__azure.com-search-searchservice-2019-05-06-swagger.yaml,3.x,31,31,ok
S1__azure.com-security-deviceSecurityGroups-2019-08-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-securityinsights-SecurityInsights-2019-01-01-preview-swagger.yaml,3.x,45,45,ok
S1__azure.com-serialconsole-2018-05-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-servermanagement-2016-07-01-preview-swagger.yaml,3.x,25,25,ok
S1__azure.com-service-map-arm-service-map-2015-11-01-preview-swagger.yaml,3.x,25,25,ok
S1__azure.com-servicebus-servicebus-preview-2018-01-01-preview-swagger.yaml,3.x,17,17,ok
S1__azure.com-servicefabric-1.0.0-swagger.yaml,3.x,77,77,ok
S1__azure.com-servicefabric-6.5.0.36-swagger.yaml,3.x,234,234,ok
S1__azure.com-servicefabric-application-2019-03-01-swagger.yaml,3.x,19,19,ok
S1__azure.com-servicefabricmesh-2018-09-01-preview-swagger.yaml,3.x,36,36,ok
S1__azure.com-signalr-2018-10-01-swagger.yaml,3.x,12,12,ok
S1__azure.com-softwareplan-2019-06-01-preview-swagger.yaml,3.x,8,8,ok
S1__azure.com-sql-DatabaseSchema-2018-06-01-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-sql-backupLongTermRetentionPolicies-2014-04-01-swagger.yaml,3.x,3,3,ok
S1__azure.com-sql-backupLongTermRetentionVaults-2014-04-01-swagger.yaml,3.x,3,3,ok
S1__azure.com-sql-backups-2014-04-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-sql-dataMasking-2014-04-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-sql-databases-2014-04-01-swagger.yaml,3.x,11,11,ok
S1__azure.com-sql-disasterRecoveryConfigurations-2014-04-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-sql-firewallRules-2014-04-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-sql-importExport-2014-04-01-swagger.yaml,3.x,3,3,ok
S1__azure.com-sql-replicationLinks-2014-04-01-swagger.yaml,3.x,5,5,ok
S1__azure.com-sql-serverAzureADAdministrators-2014-04-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-sqlvirtualmachine-sqlvm-2017-03-01-preview-swagger.yaml,3.x,17,17,ok
S1__azure.com-storSimple1200Series-StorSimple-2016-10-01-swagger.yaml,3.x,94,94,ok
S1__azure.com-storage-2017-10-01-swagger.yaml,3.x,14,14,ok
S1__azure.com-storage-2019-04-01-swagger.yaml,3.x,19,19,ok
S1__azure.com-storage-DataLakeStorage-2019-10-31-swagger.yaml,3.x,10,10,ok
S1__azure.com-storagecache-2019-08-01-preview-swagger.yaml,3.x,18,18,ok
S1__azure.com-storageimportexport-2016-11-01-swagger.yaml,3.x,10,10,ok
S1__azure.com-storagesync-2019-03-01-swagger.yaml,3.x,37,37,ok
S1__azure.com-storsimple8000series-storsimple-2017-06-01-swagger.yaml,3.x,92,92,ok
S1__azure.com-streamanalytics-functions-2016-03-01-swagger.yaml,3.x,7,7,ok
S1__azure.com-subscription-subscriptionDefinitions-2017-11-01-preview-swagger.yaml,3.x,5,5,ok
S1__azure.com-timeseriesinsights-2018-08-15-preview-swagger.yaml,3.x,22,22,ok
S1__azure.com-timeseriesinsights-2018-11-01-preview-swagger.yaml,3.x,13,13,ok
S1__azure.com-trafficmanager-2018-04-01-swagger.yaml,3.x,16,16,ok
S1__azure.com-visualstudio-Csm-2017-11-01-preview-swagger.yaml,3.x,15,15,ok
S1__azure.com-visualstudio-Projects-2018-08-01-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-vmwarecloudsimple-2019-04-01-swagger.yaml,3.x,32,32,ok
S1__azure.com-web-AppServiceCertificateOrders-2018-02-01-swagger.yaml,3.x,20,20,ok
S1__azure.com-web-AppServiceEnvironments-2018-02-01-swagger.yaml,3.x,42,42,ok
S1__azure.com-web-AppServicePlans-2018-02-01-swagger.yaml,3.x,29,29,ok
S1__azure.com-web-Certificates-2018-11-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-web-DeletedWebApps-2018-02-01-swagger.yaml,3.x,3,3,ok
S1__azure.com-web-Diagnostics-2018-02-01-swagger.yaml,3.x,22,22,ok
S1__azure.com-web-Domains-2018-02-01-swagger.yaml,3.x,15,15,ok
S1__azure.com-web-Provider-2018-02-01-swagger.yaml,3.x,3,3,ok
S1__azure.com-web-Recommendations-2018-02-01-swagger.yaml,3.x,15,15,ok
S1__azure.com-web-ResourceHealthMetadata-2018-02-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-web-ResourceProvider-2018-02-01-swagger.yaml,3.x,17,17,ok
S1__azure.com-web-TopLevelDomains-2018-02-01-swagger.yaml,3.x,3,3,ok
S1__azure.com-web-WebApps-2018-11-01-swagger.yaml,3.x,349,349,ok
S1__azure.com-web-logicAppsManagementClient-2016-06-01-swagger.yaml,3.x,26,26,ok
S1__azure.com-web-service-2015-08-01-swagger.yaml,3.x,295,295,ok
S1__azure.com-windowsiot-WindowsIotServices-2019-06-01-swagger.yaml,3.x,8,8,ok
S1__azure.com-workloadmonitor-Microsoft.WorkloadMonitor-2018-08-31-preview-swagger.yaml,3.x,13,13,ok
S1__bbc.co.uk-1.0.0-swagger.yaml,3.x,75,75,ok
S1__bbc.com-1.0.0-openapi.yaml,3.x,25,25,ok
S1__bbci.co.uk-1.0-openapi.yaml,3.x,29,29,ok
S1__bclaws.ca-bclaws-1.0.0-openapi.yaml,3.x,7,7,ok
S1__beanstream.com-1.0.1-swagger.yaml,3.x,15,15,ok
S1__beezup.com-2.0-swagger.yaml,3.x,199,199,ok
S1__bhagavadgita.io-1.0-swagger.yaml,3.x,6,6,ok
S1__bigoven.com-partner-swagger.yaml,3.x,68,68,ok
S1__bikewise.org-v2-swagger.yaml,3.x,4,4,ok
S1__billbee.io-v1-swagger.yaml,3.x,67,67,ok
S1__bitbucket.org-2.0-swagger.yaml,3.x,182,182,ok
S1__blazemeter.com-4-swagger.yaml,3.x,14,14,ok
S1__bluemix.net-containers-3.0.0-swagger.yaml,3.x,47,47,ok
S1__botify.com-1.0.0-swagger.yaml,3.x,42,42,ok
S1__box.com-2.0-openapi.yaml,3.x,173,173,ok
S1__brandlovers.com-1.0.0-swagger.yaml,3.x,36,36,ok
S1__brex.io-1.0.0-openapi.yaml,3.x,25,25,ok
S1__browshot.com-1.17.0-swagger.yaml,3.x,17,17,ok
S1__bufferapp.com-1-swagger.yaml,3.x,18,18,ok
S1__bulksms.com-1.0.0-swagger.yaml,3.x,11,11,ok
S1__bungie.net-2.0.0-swagger.yaml,3.x,94,94,ok
S1__callcontrol.com-2015-11-01-swagger.yaml,3.x,6,6,ok
S1__callfire.com-V2-swagger.yaml,3.x,119,119,ok
S1__cambase.io-1.0-swagger.yaml,3.x,17,17,ok
S1__cenit.io-v1-swagger.yaml,3.x,40,40,ok
S1__channel4.com-1.0.0-swagger.yaml,3.x,68,68,ok
S1__circuitsandbox.net-2.9.178-swagger.yaml,3.x,110,110,ok
S1__cisco.com-0.0.3-swagger.yaml,3.x,19,19,ok
S1__citrixonline.com-gotomeeting-1.0.0-swagger.yaml,3.x,26,26,ok
S1__citrixonline.com-scim-NA-swagger.yaml,3.x,17,17,ok
S1__citycontext.com-1.0.0-swagger.yaml,3.x,3,3,ok
S1__clarify.io-1.3.7-swagger.yaml,3.x,21,21,ok
S1__clever-cloud.com-1.0.0-swagger.yaml,3.x,274,274,ok
S1__clever.com-1.2.0-swagger.yaml,3.x,44,44,ok
S1__clickmeter.com-v2-swagger.yaml,3.x,108,108,ok
S1__cloudmersive.com-ocr-v1-swagger.yaml,3.x,16,16,ok
S1__cnab-online.herokuapp.com-1.0.0-swagger.yaml,3.x,4,4,ok
S1__collegefootballdata.com-1.5.0-swagger.yaml,3.x,30,30,ok
S1__consumerfinance.gov-1.0-swagger.yaml,3.x,6,6,ok
S1__contribly.com-1.0.0-swagger.yaml,3.x,44,44,ok
S1__core.ac.uk-2.0-swagger.yaml,3.x,18,18,ok
S1__cpy.re-peertube-1.3.1-openapi.yaml,3.x,72,72,ok
S1__crossbrowsertesting.com-3.0.0-swagger.yaml,3.x,3,3,ok
S1__crucible.local-1.0.0-swagger.yaml,3.x,79,79,ok
S1__data.gov-3.0-swagger.yaml,3.x,3,3,ok
S1__data2crm.com-1-swagger.yaml,3.x,95,95,ok
S1__dataatwork.org-1.0-swagger.yaml,3.x,13,13,ok
S1__datumbox.com-1.0-swagger.yaml,3.x,14,14,ok
S1__deeparteffects.com-2017-02-10T162446Z-swagger.yaml,3.x,3,3,ok
S1__departureboard.io-2.0-openapi.yaml,3.x,6,6,ok
S1__deutschebahn.com-fahrplan-v1-swagger.yaml,3.x,4,4,ok
S1__deutschebahn.com-fasta-v1-swagger.yaml,3.x,5,5,ok
S1__deutschebahn.com-flinkster-v1-swagger.yaml,3.x,10,10,ok
S1__deutschebahn.com-reisezentren-v1-swagger.yaml,3.x,4,4,ok
S1__deutschebahn.com-stada-2.2.01-swagger.yaml,3.x,4,4,ok
S1__digitallinguistics.io-0.3.1-swagger.yaml,3.x,18,18,ok
S1__dracoon.team-4.5.0-swagger.yaml,3.x,167,167,ok
S1__dropx.io-1.0.0-swagger.yaml,3.x,7,7,ok
S1__dweet.io-2.0-swagger.yaml,3.x,13,13,ok
S1__ebay.com-buy-browse-v1_beta.24.0-swagger.yaml,3.x,10,10,ok
S1__ebay.com-buy-feed-v1_beta.16.0-swagger.yaml,3.x,3,3,ok
S1__ebay.com-buy-marketing-v1_beta.1.0-swagger.yaml,3.x,3,3,ok
S1__ebay.com-commerce-taxonomy-v1_beta.4.0-swagger.yaml,3.x,7,7,ok
S1__ebay.com-sell-fulfillment-1.3.0-swagger.yaml,3.x,5,5,ok
S1__elmah.io-v3-swagger.yaml,3.x,14,14,ok
S1__envoice.in-v1-swagger.yaml,3.x,42,42,ok
S1__epa.gov-air-0.0.0-swagger.yaml,3.x,16,16,ok
S1__epa.gov-case-1.0.0-swagger.yaml,3.x,22,22,ok
S1__epa.gov-cwa-0.0.0-swagger.yaml,3.x,36,36,ok
S1__epa.gov-dfr-0.0.0-swagger.yaml,3.x,94,94,ok
S1__epa.gov-echo-1.0.0-swagger.yaml,3.x,16,16,ok
S1__epa.gov-rcra-0.0.0-swagger.yaml,3.x,16,16,ok
S1__epa.gov-sdw-0.0.0-swagger.yaml,3.x,8,8,ok
S1__etmdb.com-1.0.0-swagger.yaml,3.x,27,27,ok
S1__europeana.eu-2.3.0-swagger.yaml,3.x,13,13,ok
S1__evemarketer.com-1.0.1-swagger.yaml,3.x,4,4,ok
S1__evetech.net-0.8.6-swagger.yaml,3.x,205,205,ok
S1__exavault.com-1.0.0-swagger.yaml,3.x,35,35,ok
S1__fec.gov-1.0-swagger.yaml,3.x,91,91,ok
S1__fecru.local-1.0.0-swagger.yaml,3.x,113,113,ok
S1__firebrowse.org-1.1.38-swagger.yaml,3.x,30,30,ok
S1__fisheye.local-1.0.0-swagger.yaml,3.x,16,16,ok
S1__flat.io-2.8.0-swagger.yaml,3.x,70,70,ok
S1__flickr.com-1.0.0-swagger.yaml,3.x,25,25,ok
S1__formapi.io-v1-swagger.yaml,3.x,7,7,ok
S1__fungenerators.com-lottery-1.5-swagger.yaml,3.x,3,3,ok
S1__fungenerators.com-qrcode-1.5-swagger.yaml,3.x,9,9,ok
S1__funtranslations.com-braile-2.3-swagger.yaml,3.x,5,5,ok
S1__funtranslations.com-index-2.3-swagger.yaml,3.x,36,36,ok
S1__funtranslations.com-starwars-2.3-swagger.yaml,3.x,6,6,ok
S1__gamesparks.net-game-details-v2-swagger.yaml,3.x,88,88,ok
S1__geneea.com-1.0-swagger.yaml,3.x,11,11,ok
S1__geodesystems.com-1.0.0-swagger.yaml,3.x,236,236,ok
S1__getgo.com-gototraining-1.0.0-swagger.yaml,3.x,22,22,ok
S1__getgo.com-gotowebinar-1.0.0-swagger.yaml,3.x,38,38,ok
S1__getsandbox.com-v1-swagger.yaml,3.x,9,9,ok
S1__gettyimages.com-3-swagger.yaml,3.x,45,45,ok
S1__giphy.com-1.0-swagger.yaml,3.x,10,10,ok
S1__gisgraphy.com-4.0.0-swagger.yaml,3.x,6,6,ok
S1__gitea.io-1.1.1-swagger.yaml,3.x,190,190,ok
S1__github.com-v3-swagger.yaml,3.x,244,244,ok
S1__gitlab.com-v3-swagger.yaml,3.x,358,358,ok
S1__googleapis.com-accessapproval-v1beta1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-accesscontextmanager-v1-swagger.yaml,3.x,10,10,ok
S1__googleapis.com-adexchangebuyer-v1.4-swagger.yaml,3.x,38,38,ok
S1__googleapis.com-adexchangebuyer2-v2beta1-swagger.yaml,3.x,33,33,ok
S1__googleapis.com-adexchangeseller-v2.0-swagger.yaml,3.x,14,14,ok
S1__googleapis.com-admin-datatransfer_v1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-admin-directory_v1-swagger.yaml,3.x,113,113,ok
S1__googleapis.com-admin-reports_v1-swagger.yaml,3.x,6,6,ok
S1__googleapis.com-adsense-v1.4-swagger.yaml,3.x,39,39,ok
S1__googleapis.com-adsensehost-v4.1-swagger.yaml,3.x,26,26,ok
S1__googleapis.com-alertcenter-v1beta1-swagger.yaml,3.x,11,11,ok
S1__googleapis.com-analytics-v3-swagger.yaml,3.x,88,88,ok
S1__googleapis.com-androiddeviceprovisioning-v1-swagger.yaml,3.x,23,23,ok
S1__googleapis.com-androidenterprise-v1-swagger.yaml,3.x,86,86,ok
S1__googleapis.com-androidmanagement-v1-swagger.yaml,3.x,13,13,ok
S1__googleapis.com-androidpublisher-v3-swagger.yaml,3.x,56,56,ok
S1__googleapis.com-appengine-v1beta5-swagger.yaml,3.x,20,20,ok
S1__googleapis.com-appstate-v1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-bigquery-v2-swagger.yaml,3.x,31,31,ok
S1__googleapis.com-bigqueryconnection-v1beta1-swagger.yaml,3.x,8,8,ok
S1__googleapis.com-bigquerydatatransfer-v1-swagger.yaml,3.x,12,12,ok
S1__googleapis.com-bigqueryreservation-v1alpha2-swagger.yaml,3.x,10,10,ok
S1__googleapis.com-bigtableadmin-v2-swagger.yaml,3.x,22,22,ok
S1__googleapis.com-binaryauthorization-v1beta1-swagger.yaml,3.x,8,8,ok
S1__googleapis.com-blogger-v3-swagger.yaml,3.x,33,33,ok
S1__googleapis.com-books-v1-swagger.yaml,3.x,51,51,ok
S1__googleapis.com-calendar-v3-swagger.yaml,3.x,37,37,ok
S1__googleapis.com-chat-v1-swagger.yaml,3.x,6,6,ok
S1__googleapis.com-civicinfo-v2-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-classroom-v1-swagger.yaml,3.x,56,56,ok
S1__googleapis.com-cloudasset-v1beta1-swagger.yaml,3.x,3,3,ok
S1__googleapis.com-cloudbilling-v1-swagger.yaml,3.x,12,12,ok
S1__googleapis.com-cloudbuild-v1alpha1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-clouddebugger-v2-swagger.yaml,3.x,8,8,ok
S1__googleapis.com-clouderrorreporting-v1beta1-swagger.yaml,3.x,6,6,ok
S1__googleapis.com-cloudfunctions-v1beta2-swagger.yaml,3.x,10,10,ok
S1__googleapis.com-cloudidentity-v1beta1-swagger.yaml,3.x,9,9,ok
S1__googleapis.com-cloudiot-v1-swagger.yaml,3.x,16,16,ok
S1__googleapis.com-cloudiot-v1beta1-swagger.yaml,3.x,12,12,ok
S1__googleapis.com-cloudkms-v1-swagger.yaml,3.x,23,23,ok
S1__googleapis.com-cloudmonitoring-v2beta2-swagger.yaml,3.x,6,6,ok
S1__googleapis.com-cloudprivatecatalog-v1beta1-swagger.yaml,3.x,3,3,ok
S1__googleapis.com-cloudprivatecatalogproducer-v1beta1-swagger.yaml,3.x,19,19,ok
S1__googleapis.com-cloudprofiler-v2-swagger.yaml,3.x,3,3,ok
S1__googleapis.com-cloudresourcemanager-v2beta1-swagger.yaml,3.x,12,12,ok
S1__googleapis.com-cloudscheduler-v1beta1-swagger.yaml,3.x,9,9,ok
S1__googleapis.com-cloudsearch-v1-swagger.yaml,3.x,31,31,ok
S1__googleapis.com-cloudshell-v1alpha1-swagger.yaml,3.x,6,6,ok
S1__googleapis.com-cloudtasks-v2beta3-swagger.yaml,3.x,15,15,ok
S1__googleapis.com-clouduseraccounts-alpha-swagger.yaml,3.x,23,23,ok
S1__googleapis.com-composer-v1beta1-swagger.yaml,3.x,7,7,ok
S1__googleapis.com-compute-v1-swagger.yaml,3.x,480,480,ok
S1__googleapis.com-consumersurveys-v2-swagger.yaml,3.x,11,11,ok
S1__googleapis.com-container-v1-swagger.yaml,3.x,59,59,ok
S1__googleapis.com-container-v1beta1-swagger.yaml,3.x,54,54,ok
S1__googleapis.com-containeranalysis-v1alpha1-swagger.yaml,3.x,16,16,ok
S1__googleapis.com-content-v2.1-swagger.yaml,3.x,94,94,ok
S1__googleapis.com-dataflow-v1b3-swagger.yaml,3.x,30,30,ok
S1__googleapis.com-datafusion-v1beta1-swagger.yaml,3.x,13,13,ok
S1__googleapis.com-dataproc-v1alpha1-swagger.yaml,3.x,14,14,ok
S1__googleapis.com-dataproc-v1beta2-swagger.yaml,3.x,25,25,ok
S1__googleapis.com-datastore-v1beta3-swagger.yaml,3.x,7,7,ok
S1__googleapis.com-deploymentmanager-alpha-swagger.yaml,3.x,37,37,ok
S1__googleapis.com-deploymentmanager-v2-swagger.yaml,3.x,18,18,ok
S1__googleapis.com-deploymentmanager-v2beta-swagger.yaml,3.x,32,32,ok
S1__googleapis.com-dfareporting-v3.3-swagger.yaml,3.x,204,204,ok
S1__googleapis.com-dialogflow-v2-swagger.yaml,3.x,28,28,ok
S1__googleapis.com-dlp-v2beta2-swagger.yaml,3.x,18,18,ok
S1__googleapis.com-dns-v2beta1-swagger.yaml,3.x,21,21,ok
S1__googleapis.com-docs-v1-swagger.yaml,3.x,3,3,ok
S1__googleapis.com-domainsrdap-v1-swagger.yaml,3.x,10,10,ok
S1__googleapis.com-doubleclickbidmanager-v1-swagger.yaml,3.x,9,9,ok
S1__googleapis.com-doubleclicksearch-v2-swagger.yaml,3.x,10,10,ok
S1__googleapis.com-drive-v3-swagger.yaml,3.x,46,46,ok
S1__googleapis.com-factchecktools-v1alpha1-swagger.yaml,3.x,6,6,ok
S1__googleapis.com-file-v1beta1-swagger.yaml,3.x,8,8,ok
S1__googleapis.com-firebase-v1beta1-swagger.yaml,3.x,19,19,ok
S1__googleapis.com-firebasedynamiclinks-v1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-firebasehosting-v1beta1-swagger.yaml,3.x,11,11,ok
S1__googleapis.com-firebaserules-v1-swagger.yaml,3.x,9,9,ok
S1__googleapis.com-firestore-v1beta2-swagger.yaml,3.x,8,8,ok
S1__googleapis.com-fitness-v1-swagger.yaml,3.x,13,13,ok
S1__googleapis.com-fusiontables-v2-swagger.yaml,3.x,34,34,ok
S1__googleapis.com-games-v1-swagger.yaml,3.x,53,53,ok
S1__googleapis.com-gamesConfiguration-v1configuration-swagger.yaml,3.x,13,13,ok
S1__googleapis.com-gamesManagement-v1management-swagger.yaml,3.x,27,27,ok
S1__googleapis.com-genomics-v2alpha1-swagger.yaml,3.x,4,4,ok
S1__googleapis.com-gmail-v1-swagger.yaml,3.x,68,68,ok
S1__googleapis.com-groupssettings-v1-swagger.yaml,3.x,3,3,ok
S1__googleapis.com-healthcare-v1alpha2-swagger.yaml,3.x,43,43,ok
S1__googleapis.com-homegraph-v1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-iam-v1-swagger.yaml,3.x,24,24,ok
S1__googleapis.com-iamcredentials-v1-swagger.yaml,3.x,4,4,ok
S1__googleapis.com-iap-v1beta1-swagger.yaml,3.x,3,3,ok
S1__googleapis.com-identitytoolkit-v3-swagger.yaml,3.x,20,20,ok
S1__googleapis.com-jobs-v3p1beta1-swagger.yaml,3.x,12,12,ok
S1__googleapis.com-language-v1beta2-swagger.yaml,3.x,6,6,ok
S1__googleapis.com-libraryagent-v1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-licensing-v1-swagger.yaml,3.x,7,7,ok
S1__googleapis.com-logging-v2beta1-swagger.yaml,3.x,13,13,ok
S1__googleapis.com-manufacturers-v1-swagger.yaml,3.x,4,4,ok
S1__googleapis.com-mirror-v1-swagger.yaml,3.x,24,24,ok
S1__googleapis.com-ml-v1beta1-swagger.yaml,3.x,16,16,ok
S1__googleapis.com-monitoring-v3-swagger.yaml,3.x,24,24,ok
S1__googleapis.com-oauth2-v2-swagger.yaml,3.x,4,4,ok
S1__googleapis.com-oslogin-v1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-partners-v2-swagger.yaml,3.x,17,17,ok
S1__googleapis.com-people-v1-swagger.yaml,3.x,14,14,ok
S1__googleapis.com-playmoviespartner-v1-swagger.yaml,3.x,6,6,ok
S1__googleapis.com-plus-v1-swagger.yaml,3.x,9,9,ok
S1__googleapis.com-plusDomains-v1-swagger.yaml,3.x,10,10,ok
S1__googleapis.com-poly-v1-swagger.yaml,3.x,4,4,ok
S1__googleapis.com-prediction-v1.6-swagger.yaml,3.x,8,8,ok
S1__googleapis.com-proximitybeacon-v1beta1-swagger.yaml,3.x,17,17,ok
S1__googleapis.com-pubsub-v1beta2-swagger.yaml,3.x,16,16,ok
S1__googleapis.com-recommender-v1beta1-swagger.yaml,3.x,5,5,ok
S1__googleapis.com-redis-v1beta1-swagger.yaml,3.x,11,11,ok
S1__googleapis.com-remotebuildexecution-v1alpha-swagger.yaml,3.x,7,7,ok
S1__googleapis.com-remotebuildexecution-v2-swagger.yaml,3.x,9,9,ok
S1__googleapis.com-replicapool-v1beta1-swagger.yaml,3.x,10,10,ok
S1__googleapis.com-replicapool-v1beta2-swagger.yaml,3.x,12,12,ok
